Marché, Première date, Dernière date au 24-1 ,Montant cumulé 2020-23
MISER,20-02,20-06,315
Proprete,20-01,20-09,504
Signa DYnamique,20-01,20-09,1297
Batiments,20-01,20-09,383
GMA2017,20-02,20-11,148
MAPA,21-01,21-06,134
ROC,20-02,21-10,321
MIISST,20-02,21-12,3880
Automates,20-01,23-02,501
RAU/TSE,20-01,23-03,811
CLIM2,20-01,23-04,1019
SECOND LOT2,20-10,23-04,2119
Detection2,20-01,23-05,2583
MEC2,20-01,23-05,10627
SECOND LOT1,20-06,23-05,1887
MIRT-Lot2,20-03,23-06,907
MIRT-Lot3,20-03,23-07,322
MIRT-Lot1,20-03,23-07,3270
Onduleur,20-01,23-08,1661
Ventilation2,20-01,23-08,1636
MNAT,20-09,23-10,907
Vidéo,20-01,23-10,5094
MIISST2,21-10,23-10,3939
MDIRIF,20-02,23-10,650
FERASS,21-02,23-10,380
AMO Tunnel,21-10,23-10,841
MIRT-LOT-1,23-10,23-10,322
Pompage,20-01,23-11,2631
MIIET,20-05,23-12,2150
MERASS,20-08,23-12,1146
MEC3-Lot1,23-10,24-01,602
Propreté,21-03,24-01,2282
Eclairage,20-01,24-01,3069
Cont Reg,21-04,24-01,1066
CS,20-01,24-01,5472
Bat,21-01,24-01,1601
SignaDyn,21-02,24-01,5444
AEV,22-01,24-01,861
